gid,NUMPOINTS,경도,위도
마마58ab00aa,0,129.241536,35.28410023
마마58ab00ab,0,129.2415843,35.28635344
마마58ab00ba,0,129.2416325,35.28860665
마마58ab00bb,0,129.2416808,35.29085986
마마58ab01aa,0,129.2417291,35.29311307
마마58ab01ab,0,129.2417774,35.29536627
마마58ab01ba,0,129.2418257,35.29761948
마마58ab01bb,0,129.241874,35.29987268
마마58ab02aa,0,129.2419223,35.30212588
마마58ab02ab,0,129.2419706,35.30437909
마마58ab02ba,0,129.2420189,35.30663229
마마58ab02bb,2,129.2420672,35.30888549
마마58ab03aa,4,129.2421155,35.31113869
마마58ab03ab,0,129.2421639,35.31339189
마마58ab03ba,0,129.2422122,35.31564509
마마58ab03bb,2,129.2422605,35.31789828
마마58ab04aa,0,129.2423089,35.32015148
마마58ab04ab,0,129.2423572,35.32240467
마마58ab04ba,0,129.2424056,35.32465787
마마58ab04bb,0,129.2424539,35.32691106
마마58ab05aa,0,129.2425023,35.32916426
마마58ab05ab,0,129.2425507,35.33141745
마마58ab05ba,0,129.2425991,35.33367064
마마58ab05bb,0,129.2426474,35.33592383
마마58ab06aa,0,129.2426958,35.33817702
마마58ab06ab,0,129.2427442,35.3404302
마마58ab06ba,0,129.2427926,35.34268339
마마58ab06bb,0,129.242841,35.34493658
마마58ab07aa,0,129.2428894,35.34718976
마마58ab07ab,0,129.2429378,35.34944295
마마58ab07ba,0,129.2429863,35.35169613
마마58ab07bb,0,129.2430347,35.35394931
마마58ab08aa,0,129.2430831,35.3562025
마마58ab08ab,0,129.2431316,35.35845568
마마58ab08ba,0,129.24318,35.36070886
마마58ab08bb,0,129.2432284,35.36296204
마마58ab09aa,0,129.2432769,35.36521521
마마58ab09ab,0,129.2433254,35.36746839
마마58ab09ba,0,129.2433738,35.36972157
마마58ab09bb,0,129.2434223,35.37197474
마마58ab10aa,0,129.2434708,35.37422792
마마58ab10ab,0,129.2435192,35.37648109
마마58ab10ba,0,129.2435677,35.37873427
마마58ab10bb,0,129.2436162,35.38098744
마마58ab11aa,0,129.2436647,35.38324061
마마58ba00aa,0,129.2442839,35.28406063
마마58ba00ab,0,129.2443323,35.28631383
마마58ba00ba,0,129.2443806,35.28856704
마마58ba00bb,0,129.244429,35.29082024
마마58ba01aa,0,129.2444773,35.29307345
마마58ba01ab,0,129.2445257,35.29532665
마마58ba01ba,0,129.2445741,35.29757985
마마58ba01bb,0,129.2446224,35.29983305
마마58ba02aa,0,129.2446708,35.30208625
마마58ba02ab,0,129.2447192,35.30433945
마마58ba02ba,0,129.2447676,35.30659265
마마58ba02bb,0,129.244816,35.30884585
마마58ba03aa,0,129.2448644,35.31109905
마마58ba03ab,0,129.2449128,35.31335224
마마58ba03ba,0,129.2449612,35.31560544
마마58ba03bb,0,129.2450096,35.31785863
마마58ba04aa,0,129.245058,35.32011182
마마58ba04ab,0,129.2451065,35.32236501
마마58ba04ba,0,129.2451549,35.32461821
